xx-o-----,1
x-xo-----,1
oxxo-----,-1
xo-x-----,1
x-ox-----,1
xxxoo----,1
xxoox----,-1
xoxox----,-1
xooxx----,-1
oxoxx----,-1
ooxxx----,-1
xxo--o---,-1
x-x--o---,1
-xx--o---,1
xxxo-o---,1
xxx-oo---,1
xx-xoo---,-1
x-xxoo---,-1
xox-xo---,-1
oxx-xo---,-1
xx-oxo---,-1
x-xoxo---,-1
-xxoxo---,-1
xo-xxo---,-1
o-x--x---,1
-ox--x---,1
xoox-x---,-1
ooxx-x---,-1
x-xoox---,-1
-xxoox---,-1
o--xox---,-3
-o-xox---,-3
--oxox---,-3
oxoxox---,-1
xoo-xx---,-1
oxo-xx---,-1
oox-xx---,-1
-oxoxx---,-1
oo-xxx---,1
o-oxxx---,1
-ooxxx---,1
oxx---o--,-3
xxxo--o--,1
xxx-o-o--,1
xxoxo-o--,1
xxo-x-o--,-1
xx-ox-o--,-1
x-xox-o--,-1
oxxox-o--,1
xo-xx-o--,-1
ox-xx-o--,-1
x-oxx-o--,-1
-xoxx-o--,-1
xxx--oo--,1
xxox-oo--,-1
xxxxooo--,1
xx--xoo--,-1
x-x-xoo--,-1
-xx-xoo--,-1
xxxoxoo--,1
ox---xo--,-3
xx-o-xo--,-3
x-xo-xo--,-1
oxxo-xo--,1
o-xx-xo--,-1
-oxx-xo--,-1
xxo-oxo--,1
x-x-oxo--,-1
-xx-oxo--,-1
xxxooxo--,1
---xoxo--,-3
xo-xoxo--,-1
ox-xoxo--,-1
x-oxoxo--,1
-xoxoxo--,1
xo--xxo--,-1
x-o-xxo--,-1
-xo-xxo--,-1
-ox-xxo--,-1
ox-oxxo--,1
xxooxxo--,-1
o-xoxxo--,1
o--xxxo--,1
-o-xxxo--,1
--oxxxo--,1
xooxxxo--,1
oxoxxxo--,1
ooxxxxo--,1
oo-x--x--,-1
o-ox--x--,-3
xoox--x--,1
xoxoo-x--,-1
oxxoo-x--,-1
xo-xo-x--,1
x-oxo-x--,1
ooxxo-x--,-1
xoo-x-x--,-1
oox-x-x--,1
xo-ox-x--,-1
ox-ox-x--,-1
o-xox-x--,1
-oxox-x--,1
oooxx-x--,1
x----ox--,1
xox--ox--,-1
xxoo-ox--,-1
xo-x-ox--,1
x-ox-ox--,1
-oxx-ox--,-1
oxx-oox--,-1
xx-ooox--,1
x-xooox--,1
-xxooox--,1
x--xoox--,1
xxoxoox--,1
xoxxoox--,1
xo--xox--,-1
ox--xox--,-1
o-x-xox--,1
-ox-xox--,1
x--oxox--,-1
-x-oxox--,-1
--xoxox--,1
xoxoxox--,1
oxxoxox--,1
-o-xxox--,-1
o-oxxox--,-1
xooxxox--,1
ooxxxox--,1
xoo--xx--,-3
oox--xx--,-1
ox-o-xx--,-3
o-xo-xx--,-1
-oxo-xx--,-1
ooox-xx--,1
oo-xoxx--,-1
o-oxoxx--,-1
xooxoxx--,1
ooo-xxx--,1
ooxoxxx--,1
x-x----o-,1
xxxo---o-,1
xxx-o--o-,1
xx-xo--o-,-1
xoxxo--o-,1
xox-x--o-,-1
xx-ox--o-,-1
x-xox--o-,-1
-xxox--o-,-1
xo-xx--o-,-1
x-oxx--o-,-1
o-xxx--o-,-1
-oxxx--o-,-1
xxx--o-o-,1
xx-x-o-o-,-1
x-xx-o-o-,-1
xxxxoo-o-,1
xx--xo-o-,-1
x-x-xo-o-,-1
-xx-xo-o-,-1
xxxoxo-o-,1
x--xxo-o-,-1
xoxxxo-o-,-1
x-xo-x-o-,-1
-xxo-x-o-,-1
x-ox-x-o-,-1
o-xx-x-o-,-1
xox-ox-o-,1
-xx-ox-o-,-1
xxxoox-o-,1
---xox-o-,-3
xo-xox-o-,1
-oxxox-o-,1
xo--xx-o-,-1
x-o-xx-o-,-1
o-x-xx-o-,-1
-ox-xx-o-,-1
--xoxx-o-,-1
xoxoxx-o-,-1
o--xxx-o-,1
-o-xxx-o-,1
--oxxx-o-,1
xooxxx-o-,1
oxoxxx-o-,1
ooxxxx-o-,1
xxx---oo-,1
x--x--oo-,-1
xxox--oo-,-1
xoxx--oo-,-1
xxxxo-oo-,1
oxx-x-oo-,-1
xxxox-oo-,1
xxxx-ooo-,1
xxx-xooo-,1
oxxxxooo-,-1
xxo--xoo-,-1
xxxo-xoo-,1
xxx-oxoo-,1
x--xoxoo-,-1
-x-xoxoo-,-1
-x-oxxoo-,-1
---xxxoo-,1
xo-xxxoo-,1
ox-xxxoo-,1
x-oxxxoo-,1
-xoxxxoo-,1
o-xxxxoo-,1
-oxxxxoo-,1
x-----xo-,1
x-xo--xo-,-1
-xxo--xo-,-1
---x--xo-,1
xo-x--xo-,1
x-ox--xo-,1
xx--o-xo-,-1
xox-o-xo-,1
xxxoo-xo-,1
x--xo-xo-,1
xxoxo-xo-,1
o-xxo-xo-,-1
-oxxo-xo-,1
xo--x-xo-,-1
x-o-x-xo-,-1
o-x-x-xo-,1
-ox-x-xo-,1
x--ox-xo-,-1
--xox-xo-,1
xoxox-xo-,1
oxxox-xo-,1
o--xx-xo-,-1
-o-xx-xo-,-1
--oxx-xo-,-1
xooxx-xo-,1
ooxxx-xo-,1
xx---oxo-,-1
x-x--oxo-,-1
-xx--oxo-,-1
xxxo-oxo-,1
x--x-oxo-,1
xxox-oxo-,1
--xx-oxo-,-1
xoxx-oxo-,1
xxx-ooxo-,1
xx-xooxo-,1
x-xxooxo-,1
oxxxooxo-,-1
x---xoxo-,-1
--x-xoxo-,1
xox-xoxo-,1
oxx-xoxo-,1
xx-oxoxo-,-1
x-xoxoxo-,1
-xxoxoxo-,1
---xxoxo-,-1
xo-xxoxo-,1
x-oxxoxo-,1
oxoxxoxo-,-1
o-xxxoxo-,1
-oxxxoxo-,1
o-x--xxo-,-1
--xo-xxo-,-1
oxxo-xxo-,-1
--ox-xxo-,-1
xoox-xxo-,1
xo--oxxo-,1
-ox-oxxo-,1
xxoooxxo-,-1
-xxooxxo-,-1
o--xoxxo-,-1
-o-xoxxo-,1
x-oxoxxo-,1
oxoxoxxo-,-1
o---xxxo-,-1
-o--xxxo-,-1
xoo-xxxo-,-1
oox-xxxo-,1
xo-oxxxo-,-1
oxooxxxo-,-1
o-xoxxxo-,1
-oxoxxxo-,1
oo-xxxxo-,1
o-oxxxxo-,1
-ooxxxxo-,1
o-ox---x-,-3
xoox---x-,-3
ooxx---x-,-3
ox--o--x-,-3
-xo-o--x-,-3
-x-oo--x-,-3
xxooo--x-,-1
oxxoo--x-,-1
oxoxo--x-,-1
oxo-x--x-,1
ox-ox--x-,1
x-oox--x-,-1
-xoox--x-,1
oooxx--x-,1
-x--oo-x-,-3
xxo-oo-x-,-1
oxx-oo-x-,-1
xx-ooo-x-,1
x-xooo-x-,1
-xxooo-x-,1
-xoxoo-x-,-1
ox--xo-x-,1
-xo-xo-x-,1
o-x-xo-x-,-1
x--oxo-x-,-1
-x-oxo-x-,1
xxooxo-x-,1
--xoxo-x-,-1
xoxoxo-x-,-1
oxxoxo-x-,1
-ooxxo-x-,-1
oxoxxo-x-,1
o-o--x-x-,-3
xoo--x-x-,-3
oox--x-x-,-3
ooox-x-x-,1
oxo-ox-x-,-1
ox-oox-x-,-1
oo-xox-x-,-1
o-oxox-x-,-1
-ooxox-x-,-1
ooo-xx-x-,1
oo-oxx-x-,-1
oxooxx-x-,1
xx-o--ox-,-1
x-xo--ox-,-3
oxxo--ox-,1
-x--o-ox-,-3
xxo-o-ox-,1
oxx-o-ox-,-1
xxxoo-ox-,1
ox-xo-ox-,-1
x-oxo-ox-,1
-xoxo-ox-,1
ox--x-ox-,1
x-o-x-ox-,-1
-xo-x-ox-,1
x--ox-ox-,-1
-x-ox-ox-,1
xxoox-ox-,1
o-xox-ox-,1
o--xx-ox-,-1
--oxx-ox-,-1
xooxx-ox-,-1
oxoxx-ox-,1
xx---oox-,-1
-xx--oox-,-1
xxxo-oox-,1
x-ox-oox-,-1
xxx-ooox-,1
xoxxooox-,-1
oxxxooox-,-1
x---xoox-,-1
-x--xoox-,1
xxo-xoox-,1
oxx-xoox-,1
xx-oxoox-,1
x-xoxoox-,-1
-xxoxoox-,1
ox-xxoox-,1
-xoxxoox-,1
ooxxxoox-,-1
o----xox-,-3
x--o-xox-,-3
ox-o-xox-,1
o-xo-xox-,1
ooxx-xox-,-1
ox--oxox-,-1
x-o-oxox-,1
-xo-oxox-,1
-x-ooxox-,-1
x-xooxox-,-1
o--xoxox-,-1
--oxoxox-,1
--o-xxox-,-1
xoo-xxox-,-1
oxo-xxox-,1
o--oxxox-,1
x-ooxxox-,-1
-xooxxox-,1
oo-xxxox-,1
o-oxxxox-,1
-ooxxxox-,1
o-----xx-,1
xoo---xx-,-1
oxo---xx-,-1
oox---xx-,-1
---o--xx-,1
ox-o--xx-,-1
-xoo--xx-,-1
o-xo--xx-,-1
-oxo--xx-,-1
ooox--xx-,1
xo--o-xx-,-1
x-o-o-xx-,-1
-o-xo-xx-,-1
--oxo-xx-,-1
xooxo-xx-,1
ooo-x-xx-,1
o--ox-xx-,-1
-o-ox-xx-,-1
--oox-xx-,-1
oxoox-xx-,1
ooxox-xx-,1
xo---oxx-,-1
ox---oxx-,-1
o-x--oxx-,-1
-ox--oxx-,-1
-o-x-oxx-,-1
xoox-oxx-,1
ooxx-oxx-,-1
x--oooxx-,1
-x-oooxx-,1
--xoooxx-,1
---xooxx-,-1
xo-xooxx-,1
x-oxooxx-,1
-oxxooxx-,-1
o---xoxx-,-1
-o--xoxx-,-1
oxo-xoxx-,1
oox-xoxx-,1
---oxoxx-,-1
xo-oxoxx-,-1
ox-oxoxx-,1
-xooxoxx-,1
o-xoxoxx-,1
-oxoxoxx-,1
ooo--xxx-,1
o--o-xxx-,-3
oxoo-xxx-,-1
ooxo-xxx-,-1
xoo-oxxx-,-1
xxo-----o,-3
-xx-----o,1
xxxo----o,1
-xox----o,-3
xxx-o---o,1
xx-xo---o,-1
x-xxo---o,-1
oxxxo---o,1
oxx-x---o,-1
xx-ox---o,-1
x-xox---o,-1
-xxox---o,-1
xo-xx---o,-1
ox-xx---o,-1
o-xxx---o,-1
-oxxx---o,-1
xxx--o--o,1
xxox-o--o,1
x-xx-o--o,-1
-xxx-o--o,-3
xxxxoo--o,1
xxo-xo--o,1
x-x-xo--o,-1
-xx-xo--o,-1
xxxoxo--o,1
x-oxxo--o,1
-xoxxo--o,1
oxxxxo--o,-1
oxxo-x--o,-1
xo-x-x--o,-1
x-ox-x--o,-1
oxx-ox--o,1
xxxoox--o,1
---xox--o,-3
ox-xox--o,1
-xoxox--o,-1
o-xxox--o,1
-oxxox--o,-1
ox--xx--o,-1
-xo-xx--o,-1
o-x-xx--o,-1
-ox-xx--o,-1
o--xxx--o,1
-o-xxx--o,1
--oxxx--o,1
xooxxx--o,1
oxoxxx--o,1
ooxxxx--o,1
xxx---o-o,1
x--x--o-o,-3
-x-x--o-o,-3
xxox--o-o,-1
oxxx--o-o,-1
xxxxo-o-o,1
xxxox-o-o,1
xxxx-oo-o,1
xxx-xoo-o,1
x--xxoo-o,-1
xoxxxoo-o,-1
-x---xo-o,-3
xxo--xo-o,-1
--x--xo-o,-3
oxx--xo-o,-1
xxxo-xo-o,1
xxx-oxo-o,1
x--xoxo-o,-1
-x-xoxo-o,-1
--xxoxo-o,-1
xoxxoxo-o,-1
--xoxxo-o,-1
xoxoxxo-o,-1
---xxxo-o,1
xo-xxxo-o,1
ox-xxxo-o,1
x-oxxxo-o,1
-xoxxxo-o,1
o-xxxxo-o,1
-oxxxxo-o,1
xox---x-o,-1
x-xo--x-o,-1
-xxo--x-o,-1
xo-x--x-o,1
x-ox--x-o,1
oxox--x-o,-1
-oxx--x-o,-1
xx--o-x-o,-1
x-x-o-x-o,-1
oxx-o-x-o,1
xxxoo-x-o,1
x--xo-x-o,1
ox-xo-x-o,1
xxoxo-x-o,1
o-xxo-x-o,1
xoxxo-x-o,1
xo--x-x-o,-1
ox--x-x-o,-1
o-x-x-x-o,1
-ox-x-x-o,1
-x-ox-x-o,-1
--xox-x-o,1
xoxox-x-o,1
oxxox-x-o,1
o--xx-x-o,-1
-o-xx-x-o,-1
xooxx-x-o,1
ooxxx-x-o,1
xxo--ox-o,1
x-x--ox-o,-1
-xx--ox-o,-1
xxxo-ox-o,1
x--x-ox-o,1
ox-x-ox-o,-1
-xox-ox-o,1
--xx-ox-o,-1
xoxx-ox-o,1
xxx-oox-o,1
xx-xoox-o,1
x-xxoox-o,1
x-o-xox-o,1
-xo-xox-o,1
--x-xox-o,1
xox-xox-o,1
oxx-xox-o,1
x-xoxox-o,1
-xxoxox-o,1
xo-xxox-o,1
--oxxox-o,1
o-xxxox-o,1
-oxxxox-o,1
-o-x-xx-o,-1
--ox-xx-o,-1
xoox-xx-o,1
ox--oxx-o,1
o-x-oxx-o,1
-ox-oxx-o,-1
xxoooxx-o,-1
xoxooxx-o,-1
o--xoxx-o,1
xo-xoxx-o,1
x-oxoxx-o,1
o---xxx-o,-1
-o--xxx-o,-1
oxo-xxx-o,-1
oox-xxx-o,1
ox-oxxx-o,-1
xoooxxx-o,-1
o-xoxxx-o,1
-oxoxxx-o,1
oo-xxxx-o,1
o-oxxxx-o,1
-ooxxxx-o,1
xxx----oo,1
oxxx---oo,-1
xxxxo--oo,1
xxo-x--oo,-1
xxxox--oo,1
xxxx-o-oo,1
xxx-xo-oo,1
-x-xxo-oo,-1
--x--x-oo,-1
xox--x-oo,-1
oxx--x-oo,-1
xxxo-x-oo,1
xxx-ox-oo,1
-x-xox-oo,-1
--xxox-oo,-1
xxooxx-oo,-1
---xxx-oo,1
xo-xxx-oo,1
ox-xxx-oo,1
x-oxxx-oo,1
-xoxxx-oo,1
o-xxxx-oo,1
-oxxxx-oo,1
xx-x--ooo,1
x-xx--ooo,1
-xxx--ooo,1
xx--x-ooo,1
x-x-x-ooo,1
-xx-x-ooo,1
x--xx-ooo,1
-x-xx-ooo,1
--xxx-ooo,1
xx---xooo,1
x-x--xooo,1
-xx--xooo,1
x--x-xooo,1
-x-x-xooo,1
xxox-xooo,1
--xx-xooo,1
xoxx-xooo,1
oxxx-xooo,1
x---xxooo,1
-x--xxooo,1
--x-xxooo,1
xx----xoo,-1
x-x---xoo,-1
-xx---xoo,-1
xxxo--xoo,1
x--x--xoo,1
-x-x--xoo,-3
xxox--xoo,1
--xx--xoo,-1
xoxx--xoo,1
xxx-o-xoo,1
xx-xo-xoo,1
x-xxo-xoo,1
x---x-xoo,-1
--x-x-xoo,1
xox-x-xoo,1
oxx-x-xoo,1
xxoox-xoo,-1
x-xox-xoo,1
-xxox-xoo,1
---xx-xoo,-1
xo-xx-xoo,1
ox-xx-xoo,-1
x-oxx-xoo,1
o-xxx-xoo,1
-oxxx-xoo,1
xxx--oxoo,1
xx-x-oxoo,1
x-xx-oxoo,1
-xxx-oxoo,-1
x-x-xoxoo,1
-xx-xoxoo,1
x--xxoxoo,1
--xxxoxoo,1
x----xxoo,-3
-x---xxoo,-3
x-xo-xxoo,-1
-xxo-xxoo,-1
---x-xxoo,-1
xo-x-xxoo,1
x-ox-xxoo,1
-xox-xxoo,-1
xx--oxxoo,-1
--x-oxxoo,-1
x--xoxxoo,1
----xxxoo,-1
xo--xxxoo,-1
ox--xxxoo,-1
o-x-xxxoo,1
-ox-xxxoo,1
x-ooxxxoo,-1
-xooxxxoo,-1
xxooxxxoo,0
--xoxxxoo,1
o--xxxxoo,1
-o-xxxxoo,1
--oxxxxoo,1
xx-o---xo,-1
-xxo---xo,-1
--ox---xo,-3
-x--o--xo,-3
xxo-o--xo,-1
oxx-o--xo,1
xxxoo--xo,1
ox-xo--xo,1
-xoxo--xo,-1
o-xxo--xo,1
ox--x--xo,1
-xo-x--xo,1
