String,Delta Value,Delta Remoteness
---------,0,-3
x--------,0,-2
-x-------,-2,-3
ox-------,-2,-2
-xo------,-2,-2
--x------,-2,-3
xox------,-2,-1
xx-o-----,-1,1
x-xo-----,-1,1
oxxo-----,-1,-1
---x-----,-2,-3
o--x-----,-2,-2
xo-x-----,-1,1
ox-x-----,-2,-1
x-ox-----,-1,1
xoox-----,0,2
oxox-----,0,-2
o-xx-----,-2,-1
-oxx-----,-2,-1
x---o----,0,-1
-x--o----,0,-1
xxo-o----,-2,-4
--x-o----,0,-1
xox-o----,-2,-4
oxx-o----,-2,-4
xxxoo----,-1,1
---xo----,0,-1
ox-xo----,-2,-4
-xoxo----,-2,-4
o-xxo----,-2,-4
-oxxo----,-2,-4
----x----,0,-2
o---x----,0,-1
-o--x----,2,1
xo--x----,1,2
--o-x----,0,-1
-ox-x----,1,2
---ox----,2,1
x--ox----,1,2
-x-ox----,1,2
xxoox----,-1,-1
--xox----,1,2
xoxox----,-1,-1
-o-xx----,1,2
xooxx----,-1,-1
oxoxx----,-1,-1
ooxxx----,-1,-1
xxo--o---,-1,-1
x-x--o---,-1,1
-xx--o---,-1,1
xx-o-o---,0,2
x-xo-o---,0,2
-xxo-o---,0,2
xxxo-o---,-1,1
---x-o---,-2,-2
x--x-o---,-2,-1
xo-x-o---,0,2
-x-x-o---,-2,-1
ox-x-o---,-2,-2
x-ox-o---,0,2
-xox-o---,0,-2
--xx-o---,-2,-1
o-xx-o---,-2,-2
xoxx-o---,-2,-3
oxxx-o---,-2,-3
xxx-oo---,-1,1
-x-xoo---,0,-2
xx-xoo---,-1,-1
--xxoo---,0,-2
x-xxoo---,-1,-1
-xxxoo---,-2,-3
oxxxoo---,-2,-2
----xo---,2,1
x---xo---,1,2
-x--xo---,1,2
--x-xo---,1,2
xox-xo---,-1,-1
oxx-xo---,-1,-1
xx-oxo---,-1,-1
x-xoxo---,-1,-1
-xxoxo---,-1,-1
o--xxo---,-2,-4
-o-xxo---,0,-2
xo-xxo---,-1,-1
ox-xxo---,-2,-3
--oxxo---,-2,-4
o-xxxo---,-2,-3
-oxxxo---,-2,-3
-----x---,-2,-3
xo---x---,-2,-1
--o--x---,-2,-2
x-o--x---,-2,-1
-xo--x---,-2,-1
oxo--x---,0,-2
o-x--x---,-1,1
-ox--x---,-1,1
oox--x---,0,2
---o-x---,-2,-2
x--o-x---,-2,-1
-x-o-x---,-2,-1
ox-o-x---,0,-2
x-oo-x---,-2,-2
-xoo-x---,-2,-2
xxoo-x---,-2,-3
--xo-x---,-2,-1
o-xo-x---,0,2
-oxo-x---,0,2
xoxo-x---,-2,-3
oo-x-x---,0,2
-oox-x---,0,2
xoox-x---,-1,-1
oxox-x---,0,-2
ooxx-x---,-1,-1
----ox---,0,-1
xo--ox---,-2,-4
ox--ox---,-2,-4
x-o-ox---,-2,-4
-xo-ox---,-2,-4
x--oox---,0,-2
-x-oox---,0,-2
xx-oox---,-2,-3
xxooox---,-2,-2
x-xoox---,-1,-1
-xxoox---,-1,-1
---xox---,2,1
o--xox---,-1,-3
-o-xox---,-1,-3
--oxox---,-1,-3
oxoxox---,-1,-1
-o--xx---,1,2
xoo-xx---,-1,-1
oxo-xx---,-1,-1
oox-xx---,-1,-1
o--oxx---,-2,-4
-o-oxx---,0,-2
xo-oxx---,-2,-3
--ooxx---,-2,-4
x-ooxx---,-2,-3
-xooxx---,-2,-3
-oxoxx---,-1,-1
oo-xxx---,-1,1
o-oxxx---,-1,1
-ooxxx---,-1,1
x-----o--,2,1
-x----o--,2,1
xx----o--,1,2
xxo---o--,0,-2
--x---o--,2,1
xox---o--,0,-2
-xx---o--,2,1
oxx---o--,-1,-3
xx-o--o--,0,2
-xxo--o--,0,2
xxxo--o--,-1,1
---x--o--,0,-1
ox-x--o--,0,-2
x-ox--o--,0,-2
-xox--o--,0,-2
--xx--o--,-2,-1
o-xx--o--,0,-2
xoxx--o--,0,-2
oxxx--o--,0,-2
xxx-o-o--,-1,1
x--xo-o--,-2,-4
-x-xo-o--,-2,-4
xxoxo-o--,-1,1
--xxo-o--,-2,-4
x-xxo-o--,-2,-3
xoxxo-o--,-2,-2
-xxxo-o--,-2,-3
oxxxo-o--,-2,-2
----x-o--,0,-1
xxo-x-o--,-1,-1
o-x-x-o--,-2,-4
-ox-x-o--,0,-2
xox-x-o--,-2,-3
xx-ox-o--,-1,-1
--xox-o--,0,-2
x-xox-o--,-1,-1
oxxox-o--,-1,1
xo-xx-o--,-1,-1
ox-xx-o--,-1,-1
x-oxx-o--,-1,-1
-xoxx-o--,-1,-1
o-xxx-o--,-2,-3
-oxxx-o--,-2,-3
xx---oo--,0,2
-xx--oo--,0,2
xxx--oo--,-1,1
x--x-oo--,-2,-2
-x-x-oo--,-2,-2
xx-x-oo--,0,-2
xxox-oo--,-1,-1
--xx-oo--,-2,-2
x-xx-oo--,-2,-3
xoxx-oo--,-2,-2
-xxx-oo--,-2,-3
oxxx-oo--,-2,-2
xxxxooo--,-1,1
xx--xoo--,-1,-1
--x-xoo--,0,-2
x-x-xoo--,-1,-1
-xx-xoo--,-1,-1
xxxoxoo--,-1,1
---xxoo--,-2,-4
x--xxoo--,0,-2
-x-xxoo--,-2,-3
--xxxoo--,-2,-3
o-xxxoo--,-2,-2
-oxxxoo--,-2,-2
xoxxxoo--,-2,-1
oxxxxoo--,-2,-1
-----xo--,2,1
ox---xo--,-1,-3
x-o--xo--,0,-2
-xo--xo--,0,-2
-ox--xo--,0,2
xox--xo--,-2,-3
-x-o-xo--,0,-2
xx-o-xo--,-1,-3
xxoo-xo--,0,-2
--xo-xo--,0,2
x-xo-xo--,-1,-1
oxxo-xo--,-1,1
-o-x-xo--,0,2
xo-x-xo--,0,-2
ox-x-xo--,0,-2
o-xx-xo--,-1,-1
-oxx-xo--,-1,-1
x---oxo--,0,-2
-x--oxo--,0,-2
xxo-oxo--,-1,1
x-x-oxo--,-1,-1
-xx-oxo--,-1,-1
xxxooxo--,-1,1
---xoxo--,-1,-3
xo-xoxo--,-1,-1
ox-xoxo--,-1,-1
x-oxoxo--,-1,1
-xoxoxo--,-1,1
--xxoxo--,0,-2
xo--xxo--,-1,-1
x-o-xxo--,-1,-1
-xo-xxo--,-1,-1
-ox-xxo--,-1,-1
---oxxo--,-2,-4
x--oxxo--,-2,-3
ox-oxxo--,-1,1
xxooxxo--,-1,-1
o-xoxxo--,-1,1
xoxoxxo--,-2,-1
o--xxxo--,-1,1
-o-xxxo--,-1,1
--oxxxo--,-1,1
xooxxxo--,-1,1
oxoxxxo--,-1,1
ooxxxxo--,-1,1
------x--,0,-2
o-----x--,2,1
-o----x--,2,1
xo----x--,1,2
-xo---x--,-2,-1
oxo---x--,0,-2
-ox---x--,-2,-1
x--o--x--,-2,-1
-x-o--x--,-2,-1
x-oo--x--,0,-2
xxoo--x--,0,-2
--xo--x--,-2,-1
-oxo--x--,0,2
xoxo--x--,0,-2
oxxo--x--,0,-2
oo-x--x--,-1,-1
o-ox--x--,-1,-3
-oox--x--,0,2
xoox--x--,-1,1
oxox--x--,0,-2
ooxx--x--,0,-2
----o-x--,0,-1
ox--o-x--,-2,-4
-xo-o-x--,-2,-4
xxo-o-x--,-2,-3
o-x-o-x--,0,-2
-ox-o-x--,-2,-4
x--oo-x--,-2,-4
-x-oo-x--,-2,-4
xxooo-x--,-2,-2
--xoo-x--,-2,-4
xoxoo-x--,-1,-1
oxxoo-x--,-1,-1
o--xo-x--,-2,-4
xo-xo-x--,-1,1
x-oxo-x--,-1,1
-xoxo-x--,-2,-3
oxoxo-x--,-2,-2
ooxxo-x--,-1,-1
-o--x-x--,1,2
o-o-x-x--,-2,-4
-oo-x-x--,0,-2
xoo-x-x--,-1,-1
oxo-x-x--,-2,-3
oox-x-x--,-1,1
---ox-x--,1,2
xo-ox-x--,-1,-1
ox-ox-x--,-1,-1
--oox-x--,0,-2
x-oox-x--,-2,-3
-xoox-x--,-2,-3
o-xox-x--,-1,1
-oxox-x--,-1,1
oooxx-x--,-1,1
x----ox--,-1,1
xo---ox--,0,2
-x---ox--,-2,-1
-xo--ox--,0,-2
--x--ox--,-2,-1
-ox--ox--,0,2
xox--ox--,-1,-1
oxx--ox--,0,-2
xxoo-ox--,-1,-1
--xo-ox--,0,2
---x-ox--,-2,-1
o--x-ox--,-2,-2
-o-x-ox--,0,2
xo-x-ox--,-1,1
ox-x-ox--,0,-2
--ox-ox--,0,2
x-ox-ox--,-1,1
oxox-ox--,-2,-2
o-xx-ox--,-2,-3
-oxx-ox--,-1,-1
-x--oox--,-2,-4
--x-oox--,-2,-4
oxx-oox--,-1,-1
xx-ooox--,-1,1
x-xooox--,-1,1
-xxooox--,-1,1
x--xoox--,-1,1
-x-xoox--,-2,-3
ox-xoox--,-2,-2
xxoxoox--,-1,1
--xxoox--,-2,-3
o-xxoox--,-2,-2
xoxxoox--,-1,1
----xox--,1,2
xo--xox--,-1,-1
ox--xox--,-1,-1
--o-xox--,0,-2
o-x-xox--,-1,1
-ox-xox--,-1,1
x--oxox--,-1,-1
-x-oxox--,-1,-1
--xoxox--,-1,1
xoxoxox--,-1,1
oxxoxox--,-1,1
o--xxox--,0,-2
-o-xxox--,-1,-1
o-oxxox--,-1,-1
xooxxox--,-1,1
ooxxxox--,-1,1
o----xx--,-2,-1
-o---xx--,-2,-1
--o--xx--,-2,-1
o-o--xx--,-2,-4
-oo--xx--,0,-2
xoo--xx--,-1,-3
oxo--xx--,-2,-3
oox--xx--,-1,-1
---o-xx--,-2,-1
xo-o-xx--,-2,-3
ox-o-xx--,-1,-3
--oo-xx--,-2,-2
x-oo-xx--,-2,-3
xooo-xx--,0,-2
-xoo-xx--,-2,-3
oxoo-xx--,0,-2
o-xo-xx--,-1,-1
-oxo-xx--,-1,-1
ooox-xx--,-1,1
o---oxx--,0,-2
-o--oxx--,-2,-4
--o-oxx--,-2,-4
x-o-oxx--,-2,-3
-xo-oxx--,-2,-3
oxo-oxx--,-2,-2
---ooxx--,0,-2
x--ooxx--,-2,-3
xo-ooxx--,-2,-2
-x-ooxx--,-2,-3
ox-ooxx--,0,-2
x-oooxx--,-2,-2
-xoooxx--,-2,-2
xxoooxx--,-2,-1
--xooxx--,-2,-3
oo-xoxx--,-1,-1
--oxoxx--,0,-2
o-oxoxx--,-1,-1
xooxoxx--,-1,1
ooo-xxx--,-1,1
o--oxxx--,-2,-3
-o-oxxx--,-2,-3
--ooxxx--,-2,-3
o-ooxxx--,-2,-2
-oooxxx--,-2,-2
xoooxxx--,-2,-1
oxooxxx--,-2,-1
ooxoxxx--,-1,1
-x-----o-,-2,-2
xx-----o-,-2,-1
xxo----o-,-2,-2
x-x----o-,-1,1
-xx----o-,-2,-1
oxx----o-,-2,-2
xx-o---o-,0,2
x-xo---o-,0,2
-xxo---o-,0,2
xxxo---o-,-1,1
xo-x---o-,0,2
-x-x---o-,-2,-1
ox-x---o-,-2,-2
x-ox---o-,0,2
-xox---o-,-2,-2
xxox---o-,0,-2
--xx---o-,-2,-1
oxxx---o-,0,-2
xxx-o--o-,-1,1
-x-xo--o-,0,-2
xx-xo--o-,-1,-1
--xxo--o-,-2,-4
xoxxo--o-,-1,1
-xxxo--o-,-2,-3
oxxxo--o-,-2,-2
----x--o-,2,1
x---x--o-,1,2
ox--x--o-,-2,-4
-xo-x--o-,-2,-4
xxo-x--o-,0,-2
--x-x--o-,1,2
xox-x--o-,-1,-1
oxx-x--o-,0,-2
-x-ox--o-,0,-2
xx-ox--o-,-1,-1
x-xox--o-,-1,-1
-xxox--o-,-1,-1
---xx--o-,1,2
xo-xx--o-,-1,-1
ox-xx--o-,-2,-3
x-oxx--o-,-1,-1
-xoxx--o-,-2,-3
o-xxx--o-,-1,-1
-oxxx--o-,-1,-1
xx---o-o-,0,2
x-x--o-o-,0,2
-xx--o-o-,0,2
xxx--o-o-,-1,1
x--x-o-o-,0,2
xx-x-o-o-,-1,-1
x-xx-o-o-,-1,-1
-xxx-o-o-,-2,-3
oxxx-o-o-,-2,-2
xxxxoo-o-,-1,1
-x--xo-o-,0,-2
xx--xo-o-,-1,-1
x-x-xo-o-,-1,-1
-xx-xo-o-,-1,-1
xxxoxo-o-,-1,1
---xxo-o-,0,-2
x--xxo-o-,-1,-1
-x-xxo-o-,0,-2
ox-xxo-o-,-2,-2
-xoxxo-o-,-2,-2
--xxxo-o-,-2,-3
xoxxxo-o-,-1,-1
oxxxxo-o-,-2,-1
x----x-o-,-2,-1
-x---x-o-,-2,-1
ox---x-o-,-2,-2
-xo--x-o-,-2,-2
xxo--x-o-,0,-2
o-x--x-o-,0,2
-ox--x-o-,0,2
oxx--x-o-,0,-2
xx-o-x-o-,-2,-3
xxoo-x-o-,-2,-2
--xo-x-o-,0,2
x-xo-x-o-,-1,-1
-xxo-x-o-,-1,-1
o--x-x-o-,0,2
-o-x-x-o-,0,2
ox-x-x-o-,-2,-3
--ox-x-o-,0,2
x-ox-x-o-,-1,-1
-xox-x-o-,-2,-3
o-xx-x-o-,-1,-1
x---ox-o-,-2,-4
-x--ox-o-,0,-2
xx--ox-o-,-2,-3
xxo-ox-o-,-2,-2
xox-ox-o-,-1,1
-xx-ox-o-,-1,-1
xxxoox-o-,-1,1
---xox-o-,-1,-3
xo-xox-o-,-1,1
-x-xox-o-,0,-2
ox-xox-o-,-2,-2
-xoxox-o-,-2,-2
-oxxox-o-,-1,1
----xx-o-,1,2
xo--xx-o-,-1,-1
ox--xx-o-,-2,-3
x-o-xx-o-,-1,-1
-xo-xx-o-,-2,-3
o-x-xx-o-,-1,-1
-ox-xx-o-,-1,-1
---oxx-o-,0,-2
x--oxx-o-,-2,-3
-x-oxx-o-,0,-2
ox-oxx-o-,-2,-2
-xooxx-o-,-2,-2
xxooxx-o-,-2,-1
--xoxx-o-,-1,-1
xoxoxx-o-,-1,-1
o--xxx-o-,-1,1
-o-xxx-o-,-1,1
--oxxx-o-,-1,1
xooxxx-o-,-1,1
oxoxxx-o-,-1,1
ooxxxx-o-,-1,1
xx----oo-,0,2
-xx---oo-,0,2
xxx---oo-,-1,1
x--x--oo-,-1,-1
-x-x--oo-,0,-2
xxox--oo-,-1,-1
--xx--oo-,0,-2
xoxx--oo-,-1,-1
oxxx--oo-,-2,-2
xxxxo-oo-,-1,1
-x--x-oo-,-2,-4
--x-x-oo-,0,-2
oxx-x-oo-,-1,-1
xxxox-oo-,-1,1
xxxx-ooo-,-1,1
xxx-xooo-,-1,1
-x-xxooo-,-2,-2
--xxxooo-,-2,-2
oxxxxooo-,-1,-1
-x---xoo-,0,-2
xxo--xoo-,-1,-1
--x--xoo-,0,2
xxxo-xoo-,-1,1
---x-xoo-,0,2
xxx-oxoo-,-1,1
x--xoxoo-,-1,-1
-x-xoxoo-,-1,-1
oxxxoxoo-,1,-1
-x-oxxoo-,-1,-1
---xxxoo-,-1,1
xo-xxxoo-,-1,1
ox-xxxoo-,-1,1
x-oxxxoo-,-1,1
-xoxxxoo-,-1,1
o-xxxxoo-,-1,1
-oxxxxoo-,-1,1
x-----xo-,-1,1
xo----xo-,0,2
-x----xo-,-2,-1
ox----xo-,-2,-2
-xo---xo-,-2,-2
xxo---xo-,-2,-3
--x---xo-,-2,-1
-ox---xo-,0,2
oxx---xo-,-2,-3
xx-o--xo-,-2,-3
xxoo--xo-,-2,-2
--xo--xo-,0,2
x-xo--xo-,-1,-1
-xxo--xo-,-1,-1
---x--xo-,-1,1
-o-x--xo-,0,2
xo-x--xo-,-1,1
ox-x--xo-,-2,-3
--ox--xo-,0,2
x-ox--xo-,-1,1
-xox--xo-,-2,-3
oxox--xo-,-2,-2
o-xx--xo-,0,-2
-x--o-xo-,0,-2
xx--o-xo-,-1,-1
--x-o-xo-,-2,-4
xox-o-xo-,-1,1
-xx-o-xo-,-2,-3
oxx-o-xo-,-2,-2
xxxoo-xo-,-1,1
x--xo-xo-,-1,1
-x-xo-xo-,-2,-3
ox-xo-xo-,-2,-2
xxoxo-xo-,-1,1
o-xxo-xo-,-1,-1
-oxxo-xo-,-1,1
----x-xo-,1,2
xo--x-xo-,-1,-1
ox--x-xo-,-2,-3
--o-x-xo-,0,-2
x-o-x-xo-,-1,-1
-xo-x-xo-,-2,-3
oxo-x-xo-,-2,-2
o-x-x-xo-,-1,1
-ox-x-xo-,-1,1
x--ox-xo-,-1,-1
-x-ox-xo-,-2,-3
-xoox-xo-,-2,-2
xxoox-xo-,-2,-1
--xox-xo-,-1,1
xoxox-xo-,-1,1
oxxox-xo-,-1,1
o--xx-xo-,-1,-1
-o-xx-xo-,-1,-1
--oxx-xo-,-1,-1
xooxx-xo-,-1,1
oxoxx-xo-,-2,-1
ooxxx-xo-,-1,1
x----oxo-,0,2
xx---oxo-,-1,-1
--x--oxo-,0,2
x-x--oxo-,-1,-1
-xx--oxo-,-1,-1
xxxo-oxo-,-1,1
---x-oxo-,0,2
x--x-oxo-,-1,1
-x-x-oxo-,-2,-3
ox-x-oxo-,-2,-2
xxox-oxo-,-1,1
--xx-oxo-,-1,-1
xoxx-oxo-,-1,1
oxxx-oxo-,-2,-1
xxx-ooxo-,-1,1
xx-xooxo-,-1,1
x-xxooxo-,-1,1
-xxxooxo-,-2,-1
oxxxooxo-,-1,-1
x---xoxo-,-1,-1
-x--xoxo-,-2,-3
-xo-xoxo-,-2,-2
--x-xoxo-,-1,1
xox-xoxo-,-1,1
oxx-xoxo-,-1,1
xx-oxoxo-,-1,-1
x-xoxoxo-,-1,1
-xxoxoxo-,-1,1
---xxoxo-,-1,-1
xo-xxoxo-,-1,1
ox-xxoxo-,-2,-1
x-oxxoxo-,-1,1
oxoxxoxo-,-1,-1
o-xxxoxo-,-1,1
-oxxxoxo-,-1,1
-----xxo-,-2,-1
ox---xxo-,-2,-3
x-o--xxo-,-2,-3
-xo--xxo-,-2,-3
oxo--xxo-,-2,-2
o-x--xxo-,-1,-1
x--o-xxo-,-2,-3
xo-o-xxo-,0,-2
-x-o-xxo-,-2,-3
ox-o-xxo-,0,-2
x-oo-xxo-,-2,-2
-xoo-xxo-,-2,-2
xxoo-xxo-,-2,-1
--xo-xxo-,-1,-1
oxxo-xxo-,-1,-1
o--x-xxo-,0,-2
--ox-xxo-,-1,-1
xoox-xxo-,-1,1
oxox-xxo-,-2,-1
----oxxo-,-2,-4
xo--oxxo-,-1,1
-x--oxxo-,-2,-3
ox--oxxo-,-2,-2
-xo-oxxo-,-2,-2
xxo-oxxo-,-2,-1
-ox-oxxo-,-1,1
x--ooxxo-,-2,-2
-x-ooxxo-,0,-2
xx-ooxxo-,-2,-1
xxoooxxo-,-1,-1
-xxooxxo-,-1,-1
oxxooxxo-,1,-1
o--xoxxo-,-1,-1
-o-xoxxo-,-1,1
x-oxoxxo-,-1,1
-xoxoxxo-,-2,-1
oxoxoxxo-,-1,-1
o---xxxo-,-1,-1
-o--xxxo-,-1,-1
--o-xxxo-,-2,-3
xoo-xxxo-,-1,-1
oxo-xxxo-,-2,-1
oox-xxxo-,-1,1
---oxxxo-,-2,-3
xo-oxxxo-,-1,-1
ox-oxxxo-,-2,-1
--ooxxxo-,-2,-2
x-ooxxxo-,-2,-1
-xooxxxo-,-2,-1
oxooxxxo-,-1,-1
o-xoxxxo-,-1,1
-oxoxxxo-,-1,1
oo-xxxxo-,-1,1
o-oxxxxo-,-1,1
-ooxxxxo-,-1,1
