String,Delta Value,Delta Remoteness
-oxxoxo-x,-1,1
-o--xxo-x,-1,-1
--o-xxo-x,-1,-1
xoo-xxo-x,-1,1
oox-xxo-x,-1,1
o--oxxo-x,-1,1
xo-oxxo-x,-1,1
x-ooxxo-x,-1,1
-oxoxxo-x,-1,1
oo-xxxo-x,-1,1
o-oxxxo-x,-1,1
-ooxxxo-x,-1,1
o-----x-x,1,2
-o----x-x,1,2
--o---x-x,1,2
xoo---x-x,-1,-1
oxo---x-x,-2,-3
oox---x-x,-1,-1
---o--x-x,-1,1
-o-o--x-x,0,2
xo-o--x-x,-1,-1
ox-o--x-x,-1,-3
x-oo--x-x,-1,-1
-xoo--x-x,-2,-3
o-xo--x-x,-1,-1
-oxo--x-x,-1,-1
ooox--x-x,-1,1
ox--o-x-x,-2,-3
x-o-o-x-x,-1,-1
-xo-o-x-x,-2,-3
o-x-o-x-x,-1,-1
o--xo-x-x,-2,-3
--oxo-x-x,-1,-1
xooxo-x-x,-1,1
oxoxo-x-x,-2,-1
ooo-x-x-x,-1,1
o--ox-x-x,-1,-1
-o-ox-x-x,-1,-1
--oox-x-x,-1,-1
xooox-x-x,-1,1
oxoox-x-x,-2,-1
ooxox-x-x,-1,1
-----ox-x,-1,1
-o---ox-x,0,2
xo---ox-x,-1,-1
ox---ox-x,-2,-3
x-o--ox-x,-1,-1
-xo--ox-x,-1,-3
o-x--ox-x,-1,-1
-ox--ox-x,-1,-1
---o-ox-x,0,2
o--x-ox-x,-2,-3
-o-x-ox-x,-1,-1
--ox-ox-x,-1,-1
xoox-ox-x,-1,1
oxox-ox-x,-2,-1
ooxx-ox-x,-1,-1
x--ooox-x,-1,1
-x-ooox-x,-1,1
--xooox-x,-1,1
---xoox-x,-1,-1
xo-xoox-x,-1,1
ox-xoox-x,-2,-1
x-oxoox-x,-1,1
-xoxoox-x,-1,-1
oxoxoox-x,1,-1
o-xxoox-x,-2,-1
ooxxoox-x,1,-1
o---xox-x,-1,-1
-o--xox-x,-1,-1
--o-xox-x,-1,-1
xoo-xox-x,-1,1
oxo-xox-x,-2,-1
oox-xox-x,-1,1
---oxox-x,-1,-1
xo-oxox-x,-1,1
ox-oxox-x,-1,-1
x-ooxox-x,-1,1
-xooxox-x,-1,-1
oxooxox-x,1,-1
o-xoxox-x,-1,1
-oxoxox-x,-1,1
ooo--xx-x,-1,1
o--o-xx-x,-1,-1
-o-o-xx-x,-1,-1
--oo-xx-x,-2,-3
xooo-xx-x,-1,-1
oxoo-xx-x,-2,-1
ooxo-xx-x,-1,1
o---oxx-x,-1,-1
--o-oxx-x,-2,-3
oxo-oxx-x,-2,-1
oox-oxx-x,-1,1
---ooxx-x,-1,-1
ox-ooxx-x,-1,-1
x-oooxx-x,-2,-1
xooooxx-x,1,-1
-xoooxx-x,-2,-1
oxoooxx-x,1,-1
o-xooxx-x,-1,1
-oxooxx-x,-1,1
x------ox,-2,-1
xo-----ox,0,2
-x-----ox,-2,-1
ox-----ox,-2,-2
-xo----ox,-2,-2
xxo----ox,-2,-3
--x----ox,-1,1
-ox----ox,0,2
oxx----ox,-2,-3
x--o---ox,0,2
xx-o---ox,-1,-1
--xo---ox,0,2
x-xo---ox,-1,-1
-xxo---ox,-1,-1
---x---ox,-2,-1
ox-x---ox,-2,-3
x-ox---ox,-1,-1
-xox---ox,-2,-3
oxox---ox,-2,-2
o-xx---ox,-2,-3
x---o--ox,-2,-4
-x--o--ox,0,-2
xx--o--ox,-2,-3
xxo-o--ox,-2,-2
xox-o--ox,-1,1
-xx-o--ox,-1,-1
xxxoo--ox,-1,1
---xo--ox,-2,-4
xo-xo--ox,-1,1
-x-xo--ox,-2,-3
ox-xo--ox,-2,-2
-xoxo--ox,-2,-2
-oxxo--ox,-1,1
oxxxo--ox,-2,-1
----x--ox,1,2
o---x--ox,0,-2
xo--x--ox,-1,1
ox--x--ox,-2,-3
x-o-x--ox,-1,1
-xo-x--ox,-2,-3
oxo-x--ox,-2,-2
o-x-x--ox,-1,-1
-ox-x--ox,-1,-1
x--ox--ox,-1,1
-x-ox--ox,-2,-3
ox-ox--ox,-2,-2
xxoox--ox,-1,1
--xox--ox,-1,-1
xoxox--ox,-1,1
o--xx--ox,-2,-3
-o-xx--ox,-1,-1
--oxx--ox,-1,-1
xooxx--ox,-1,1
oxoxx--ox,-2,-1
ooxxx--ox,-1,-1
x----o-ox,0,2
xx---o-ox,-1,-1
x-x--o-ox,-1,-1
-xx--o-ox,-2,-3
oxx--o-ox,-2,-2
xxxo-o-ox,-1,1
x--x-o-ox,-1,-1
-x-x-o-ox,-2,-3
ox-x-o-ox,-2,-2
-xox-o-ox,0,-2
xxox-o-ox,-1,-1
--xx-o-ox,-2,-3
o-xx-o-ox,-2,-2
-oxx-o-ox,0,-2
oxxx-o-ox,-2,-1
xxx-oo-ox,-1,1
-x-xoo-ox,0,-2
xx-xoo-ox,-1,-1
xxoxoo-ox,1,-1
--xxoo-ox,-2,-2
-xxxoo-ox,-2,-1
oxxxoo-ox,-1,-1
x---xo-ox,-1,1
-x--xo-ox,-2,-3
ox--xo-ox,-2,-2
xxo-xo-ox,-1,1
--x-xo-ox,-1,-1
xox-xo-ox,-1,1
oxx-xo-ox,-2,-1
xx-oxo-ox,-1,1
x-xoxo-ox,-1,1
-xxoxo-ox,-1,-1
---xxo-ox,-2,-3
o--xxo-ox,-2,-2
xo-xxo-ox,-1,1
ox-xxo-ox,-2,-1
x-oxxo-ox,-1,1
-xoxxo-ox,-2,-1
oxoxxo-ox,-1,-1
o-xxxo-ox,-2,-1
-oxxxo-ox,-1,-1
-----x-ox,-1,1
-o---x-ox,0,2
ox---x-ox,-2,-3
x-o--x-ox,0,-2
-xo--x-ox,-2,-3
oxo--x-ox,-2,-2
o-x--x-ox,-1,1
-ox--x-ox,-1,1
---o-x-ox,0,2
x--o-x-ox,-1,-1
-x-o-x-ox,-2,-3
-xoo-x-ox,-2,-2
xxoo-x-ox,-2,-1
--xo-x-ox,-1,1
xoxo-x-ox,-1,1
oxxo-x-ox,-1,1
o--x-x-ox,-1,-1
--ox-x-ox,0,-2
oxox-x-ox,-2,-1
ooxx-x-ox,-1,1
xo--ox-ox,-1,1
-x--ox-ox,-2,-3
x-o-ox-ox,-1,-1
-xo-ox-ox,-2,-2
--x-ox-ox,-1,1
oxx-ox-ox,-1,1
xx-oox-ox,-2,-1
xxooox-ox,-1,-1
x-xoox-ox,-1,1
-xxoox-ox,-1,1
-o-xox-ox,-1,1
ox-xox-ox,-2,-1
--oxox-ox,-1,-1
oxoxox-ox,-1,-1
o-xxox-ox,-1,1
o---xx-ox,-1,-1
-o--xx-ox,-1,-1
--o-xx-ox,-1,-1
xoo-xx-ox,-1,1
oxo-xx-ox,-2,-1
oox-xx-ox,-1,1
---oxx-ox,-1,-1
xo-oxx-ox,-1,1
x-ooxx-ox,-1,1
-xooxx-ox,-2,-1
oxooxx-ox,-1,-1
o-xoxx-ox,-1,1
-oxoxx-ox,-1,1
oo-xxx-ox,-1,1
o-oxxx-ox,-1,1
-ooxxx-ox,-1,1
xx----oox,-1,-1
x-x---oox,-1,-1
-xx---oox,-1,-1
xxxo--oox,-1,1
x--x--oox,0,-2
-x-x--oox,-1,-3
ox-x--oox,0,-2
-xox--oox,0,-2
--xx--oox,-1,-3
oxxx--oox,-2,-1
xxx-o-oox,-1,1
x--xo-oox,-1,-1
-x-xo-oox,0,-2
-xxxo-oox,-1,-1
oxxxo-oox,1,-1
x---x-oox,-1,1
-x--x-oox,-2,-3
ox--x-oox,-2,-2
xxo-x-oox,-1,1
--x-x-oox,-1,-1
xox-x-oox,-1,1
xx-ox-oox,-1,1
x-xox-oox,-1,1
---xx-oox,-1,-1
xo-xx-oox,-1,1
ox-xx-oox,-2,-1
x-oxx-oox,-1,1
-xoxx-oox,-1,-1
oxoxx-oox,1,-1
o-xxx-oox,-2,-1
-oxxx-oox,-1,-1
ooxxx-oox,1,-1
xxx--ooox,-1,1
-x-x-ooox,0,-2
xx-x-ooox,-1,-1
--xx-ooox,0,-2
x-xx-ooox,-1,-1
-xxx-ooox,-2,-1
oxxx-ooox,-2,0
xx-xoooox,1,-1
x-xxoooox,1,-1
-xxxoooox,1,-1
xx--xooox,-1,1
x-x-xooox,-1,1
-xx-xooox,-2,-1
oxx-xooox,-1,-1
x--xxooox,-1,1
-x-xxooox,-2,-1
ox-xxooox,-1,-1
--xxxooox,-2,-1
o-xxxooox,-1,-1
oxxxxooox,-1,0
-----xoox,0,2
x----xoox,-1,-1
-x---xoox,-1,-3
-xo--xoox,0,-2
--x--xoox,-1,1
xox--xoox,-1,1
oxx--xoox,-1,1
xx-o-xoox,-1,-1
x-xo-xoox,-1,1
-xxo-xoox,-1,1
---x-xoox,-1,-1
ox-x-xoox,-1,-1
o-xx-xoox,-1,1
-oxx-xoox,-1,1
x-x-oxoox,-1,1
-xx-oxoox,-1,1
xx-ooxoox,1,-1
ox-xoxoox,1,-1
--xxoxoox,-1,1
----xxoox,-1,-1
xo--xxoox,-1,1
x-o-xxoox,-1,1
-xo-xxoox,-1,-1
oxo-xxoox,1,-1
o-x-xxoox,-1,1
-ox-xxoox,-1,1
x--oxxoox,-1,1
--xoxxoox,-1,1
o--xxxoox,-1,1
-o-xxxoox,-1,1
--oxxxoox,-1,1
o-----xox,0,-2
ox----xox,-2,-3
--o---xox,0,-2
x-o---xox,-1,-1
-xo---xox,-2,-3
oxo---xox,-2,-2
o-x---xox,-1,-1
x--o--xox,0,-2
-x-o--xox,-2,-3
ox-o--xox,0,-2
-xoo--xox,-2,-2
xxoo--xox,-2,-1
--xo--xox,-1,-1
oxxo--xox,-1,-1
o--x--xox,0,-2
oo-x--xox,-1,-1
--ox--xox,-2,-3
o-ox--xox,-2,-2
xoox--xox,-1,1
oxox--xox,-2,-1
----o-xox,-2,-4
xo--o-xox,-1,1
-x--o-xox,-2,-3
ox--o-xox,-2,-2
-xo-o-xox,-2,-2
xxo-o-xox,-2,-1
-ox-o-xox,-1,1
oxx-o-xox,-2,-1
x--oo-xox,-1,-1
-x-oo-xox,-2,-2
xxooo-xox,-1,-1
oxxoo-xox,1,-1
o--xo-xox,-2,-2
-o-xo-xox,-1,1
ox-xo-xox,-2,-1
x-oxo-xox,-1,1
-xoxo-xox,-2,-1
oxoxo-xox,-1,-1
o---x-xox,-2,-3
-o--x-xox,-1,-1
--o-x-xox,-2,-3
o-o-x-xox,-2,-2
xoo-x-xox,-1,1
oxo-x-xox,-2,-1
oox-x-xox,-1,1
---ox-xox,-1,-1
xo-ox-xox,-1,1
ox-ox-xox,-2,-1
x-oox-xox,-1,1
-xoox-xox,-2,-1
oxoox-xox,-1,-1
o-xox-xox,-1,1
-oxox-xox,-1,1
x----oxox,-1,-1
-x---oxox,-2,-3
ox---oxox,-2,-2
-xo--oxox,0,-2
xxo--oxox,-1,-1
--x--oxox,0,-2
oxx--oxox,-2,-1
-x-o-oxox,0,-2
---x-oxox,-2,-3
o--x-oxox,-2,-2
xo-x-oxox,-1,1
ox-x-oxox,-2,-1
x-ox-oxox,-1,1
-xox-oxox,-2,-1
oxox-oxox,-2,0
o-xx-oxox,-2,-1
-x--ooxox,-2,-2
xxo-ooxox,1,-1
--x-ooxox,-1,-1
oxx-ooxox,-1,-1
x--xooxox,-1,1
-x-xooxox,-2,-1
ox-xooxox,-1,-1
-xoxooxox,1,-1
o-xxooxox,-1,-1
oxxxooxox,-1,0
----xoxox,-1,-1
xo--xoxox,-1,1
ox--xoxox,-2,-1
x-o-xoxox,-1,1
-xo-xoxox,-2,-1
oxo-xoxox,-1,-1
o-x-xoxox,-1,1
-ox-xoxox,-1,1
x--oxoxox,-1,1
-x-oxoxox,-1,-1
--xoxoxox,-1,1
o--xxoxox,-2,-1
-o-xxoxox,-1,-1
--oxxoxox,-2,-1
o-oxxoxox,-1,-1
oxoxxoxox,-1,0
o----xxox,-2,-3
--o--xxox,0,-2
o-o--xxox,-2,-2
-oo--xxox,-1,-1
oxo--xxox,-2,-1
oox--xxox,-1,1
---o-xxox,-2,-3
ox-o-xxox,-2,-1
--oo-xxox,-2,-2
x-oo-xxox,-2,-1
-xoo-xxox,-2,-1
oxoo-xxox,-2,0
o-xo-xxox,-1,1
-oxo-xxox,-1,1
ooox-xxox,-1,1
-o--oxxox,-1,1
ox--oxxox,-2,-1
--o-oxxox,-2,-2
-xo-oxxox,-2,-1
oxo-oxxox,-1,-1
o-x-oxxox,-1,1
-x-ooxxox,-2,-1
ox-ooxxox,1,-1
x-oooxxox,-1,-1
-xoooxxox,-1,-1
xxoooxxox,-1,0
--xooxxox,-1,1
o-oxoxxox,-1,-1
oxoxoxxox,-1,0
o--oxxxox,-2,-1
-o-oxxxox,-1,-1
--ooxxxox,-2,-1
o-ooxxxox,-1,-1
oxooxxxox,-1,0
-o-----xx,-2,-1
oo-----xx,0,2
--o----xx,-1,1
-oo----xx,0,2
xoo----xx,-1,-1
oxo----xx,-1,-1
oox----xx,-1,-1
o--o---xx,0,2
-o-o---xx,0,2
xo-o---xx,-1,-1
--oo---xx,0,2
x-oo---xx,-1,-1
-xoo---xx,-1,-1
-oxo---xx,-1,-1
ooox---xx,-1,1
xo--o--xx,-2,-3
ox--o--xx,0,-2
o-x-o--xx,-1,-1
-ox-o--xx,-1,-1
o--xo--xx,-2,-3
-o-xo--xx,-2,-3
ooxxo--xx,-1,-1
ooo-x--xx,-1,1
-o-ox--xx,-1,-1
--oox--xx,-1,-1
xooox--xx,-1,1
oxoox--xx,-1,1
-----o-xx,-1,1
-o---o-xx,0,2
xo---o-xx,-1,-1
ox---o-xx,-1,-1
--o--o-xx,0,2
x-o--o-xx,-1,-1
-xo--o-xx,-1,-1
o-x--o-xx,-2,-3
-ox--o-xx,-2,-3
---o-o-xx,0,2
o--x-o-xx,-2,-3
-o-x-o-xx,-2,-3
--ox-o-xx,-1,-3
xoox-o-xx,-1,-1
oxox-o-xx,-1,-1
ooxx-o-xx,-2,-1
x--ooo-xx,-1,1
-x-ooo-xx,-1,1
--xooo-xx,-1,1
---xoo-xx,-2,-3
xo-xoo-xx,-2,-1
ox-xoo-xx,-2,-1
xooxoo-xx,1,-1
oxoxoo-xx,1,-1
o-xxoo-xx,-2,-1
-oxxoo-xx,-2,-1
ooxxoo-xx,1,-1
o---xo-xx,-1,-1
-o--xo-xx,-1,-1
--o-xo-xx,-1,-1
xoo-xo-xx,-1,1
oxo-xo-xx,-1,1
oox-xo-xx,-2,-1
---oxo-xx,-1,-1
xo-oxo-xx,-1,1
ox-oxo-xx,-1,1
x-ooxo-xx,-1,1
-xooxo-xx,-1,1
-oxoxo-xx,-1,-1
ooo--x-xx,-1,1
-o-o-x-xx,-1,-1
--oo-x-xx,0,-2
xooo-x-xx,-1,-1
ooxo-x-xx,-1,1
o---ox-xx,-1,-1
-o--ox-xx,-1,-1
oox-ox-xx,-1,1
---oox-xx,-1,-1
xo-oox-xx,-1,-1
xoooox-xx,1,-1
oxooox-xx,1,-1
o-xoox-xx,-1,1
-oxoox-xx,-1,1
------oxx,2,1
o-----oxx,-1,-3
-o----oxx,-2,-2
xo----oxx,-2,-3
--o---oxx,0,-2
-ox---oxx,-2,-3
---o--oxx,-1,-1
x--o--oxx,0,-2
ox-o--oxx,-1,1
o-xo--oxx,-1,1
xoxo--oxx,-1,-1
o--x--oxx,0,-2
-o-x--oxx,0,-2
oo-x--oxx,-2,-2
o-ox--oxx,-1,-1
-oox--oxx,-1,-1
ooxx--oxx,-2,-1
----o-oxx,-2,-4
xo--o-oxx,-2,-2
ox--o-oxx,-1,-1
x-o-o-oxx,-1,1
-xo-o-oxx,-1,1
--x-o-oxx,-2,-3
xox-o-oxx,-2,-1
x--oo-oxx,-1,-1
-x-oo-oxx,-1,-1
xoxoo-oxx,1,-1
o--xo-oxx,-2,-2
-o-xo-oxx,-2,-2
--oxo-oxx,-1,1
o-xxo-oxx,-2,-1
-oxxo-oxx,-2,-1
ooxxo-oxx,1,-1
-o--x-oxx,0,-2
oo--x-oxx,-1,-1
--o-x-oxx,-1,-1
xoo-x-oxx,-1,1
oxo-x-oxx,-1,1
o--ox-oxx,-1,1
xo-ox-oxx,-1,1
x-oox-oxx,-1,1
-xoox-oxx,-1,1
x----ooxx,0,-2
-x---ooxx,0,-2
--x--ooxx,0,-2
o-x--ooxx,-2,-2
-ox--ooxx,-2,-2
xox--ooxx,-2,-1
--xo-ooxx,-1,-1
oxxo-ooxx,-1,1
---x-ooxx,-2,-3
o--x-ooxx,-2,-2
-o-x-ooxx,-2,-2
xo-x-ooxx,-2,-1
ox-x-ooxx,-2,-1
--ox-ooxx,0,-2
o-xx-ooxx,-2,-1
-oxx-ooxx,-2,-1
ooxx-ooxx,-2,0
x---oooxx,-1,-1
-x--oooxx,-1,-1
--x-oooxx,-2,-2
xox-oooxx,-1,-1
oxx-oooxx,-1,-1
---xoooxx,-2,-2
xo-xoooxx,-1,-1
ox-xoooxx,-1,-1
--xxoooxx,-2,-1
o-xxoooxx,-1,-1
-oxxoooxx,-1,-1
xoxxoooxx,-1,0
oxxxoooxx,-1,0
----xooxx,-1,-1
xo--xooxx,-1,1
ox--xooxx,-1,1
x-o-xooxx,-1,1
-xo-xooxx,-1,1
-ox-xooxx,-2,-1
oox-xooxx,-1,-1
x--oxooxx,-1,1
-x-oxooxx,-1,1
o--xxooxx,-2,-1
-o-xxooxx,-2,-1
oo-xxooxx,-1,-1
--oxxooxx,-1,-1
o-oxxooxx,1,-1
-ooxxooxx,1,-1
ooxxxooxx,-1,0
-o---xoxx,0,-2
o-o--xoxx,-1,-1
-oo--xoxx,-1,-1
oox--xoxx,-1,1
o--o-xoxx,-1,1
xo-o-xoxx,-1,-1
--oo-xoxx,-1,-1
oxoo-xoxx,-1,1
-oxo-xoxx,-1,1
ooox-xoxx,-1,1
--o-oxoxx,-1,1
o-x-oxoxx,-1,1
-ox-oxoxx,-1,1
xo-ooxoxx,1,-1
--xooxoxx,-1,1
oo-xoxoxx,1,-1
-oooxxoxx,1,-1
oo----xxx,-1,1
o-o---xxx,-1,1
-oo---xxx,-1,1
o--o--xxx,-1,1
-o-o--xxx,-1,1
--oo--xxx,-1,1
xooo--xxx,-1,1
oxoo--xxx,-1,1
ooxo--xxx,-1,1
o---o-xxx,-1,1
-o--o-xxx,-1,1
--o-o-xxx,-1,1
xoo-o-xxx,-1,1
oxo-o-xxx,-1,1
oox-o-xxx,-1,1
---oo-xxx,-1,1
xo-oo-xxx,-1,1
ox-oo-xxx,-1,1
x-ooo-xxx,-1,1
-xooo-xxx,-1,1
o-xoo-xxx,-1,1
-oxoo-xxx,-1,1
oo-xo-xxx,-1,1
o-oxo-xxx,-1,1
-ooxo-xxx,-1,1
oo-ox-xxx,-1,1
o-oox-xxx,-1,1
-ooox-xxx,-1,1
o----oxxx,-1,1
-o---oxxx,-1,1
--o--oxxx,-1,1
xoo--oxxx,-1,1
oxo--oxxx,-1,1
oox--oxxx,-1,1
---o-oxxx,-1,1
xo-o-oxxx,-1,1
ox-o-oxxx,-1,1
x-oo-oxxx,-1,1
-xoo-oxxx,-1,1
o-xo-oxxx,-1,1
-oxo-oxxx,-1,1
oo-x-oxxx,-1,1
o-ox-oxxx,-1,1
-oox-oxxx,-1,1
----ooxxx,-1,1
xo--ooxxx,-1,1
ox--ooxxx,-1,1
x-o-ooxxx,-1,1
-xo-ooxxx,-1,1
o-x-ooxxx,-1,1
-ox-ooxxx,-1,1
o--xooxxx,-1,1
-o-xooxxx,-1,1
--oxooxxx,-1,1
oo--xoxxx,-1,1
o-o-xoxxx,-1,1
-oo-xoxxx,-1,1
o--oxoxxx,-1,1
-o-oxoxxx,-1,1
--ooxoxxx,-1,1
oo-o-xxxx,-1,1
o-oo-xxxx,-1,1
-ooo-xxxx,-1,1
oo--oxxxx,-1,1
o-o-oxxxx,-1,1
-oo-oxxxx,-1,1
o--ooxxxx,-1,1
-o-ooxxxx,-1,1
--oooxxxx,-1,1
