String,Value,Remoteness
-xo-xx-o-,Tie,4
oxo-xx-o-,Win,1
o-x-xx-o-,Lose,2
-ox-xx-o-,Lose,2
oox-xx-o-,Win,1
---oxx-o-,Win,3
x--oxx-o-,Tie,4
xo-oxx-o-,Win,1
-x-oxx-o-,Win,3
ox-oxx-o-,Tie,3
x-ooxx-o-,Win,1
-xooxx-o-,Tie,3
xxooxx-o-,Tie,2
--xoxx-o-,Lose,2
o-xoxx-o-,Win,1
-oxoxx-o-,Win,1
xoxoxx-o-,Lose,2
oxxoxx-o-,Win,1
o--xxx-o-,Lose,0
-o-xxx-o-,Lose,0
--oxxx-o-,Lose,0
xooxxx-o-,Lose,0
oxoxxx-o-,Lose,0
ooxxxx-o-,Lose,0
xx----oo-,Win,1
x-x---oo-,Win,1
-xx---oo-,Win,1
xxx---oo-,Lose,0
x--x--oo-,Lose,4
-x-x--oo-,Win,5
xx-x--oo-,Win,1
xxox--oo-,Lose,2
--xx--oo-,Win,5
x-xx--oo-,Win,1
xoxx--oo-,Lose,2
-xxx--oo-,Win,1
oxxx--oo-,Tie,3
xx-xo-oo-,Win,1
x-xxo-oo-,Win,1
-xxxo-oo-,Win,1
xxxxo-oo-,Lose,0
x---x-oo-,Win,1
-x--x-oo-,Tie,5
xx--x-oo-,Win,1
xxo-x-oo-,Win,1
--x-x-oo-,Win,3
x-x-x-oo-,Win,1
xox-x-oo-,Win,1
-xx-x-oo-,Win,1
oxx-x-oo-,Lose,2
xx-ox-oo-,Win,1
x-xox-oo-,Win,1
-xxox-oo-,Win,1
xxxox-oo-,Lose,0
---xx-oo-,Win,1
x--xx-oo-,Win,1
xo-xx-oo-,Win,1
-x-xx-oo-,Win,1
ox-xx-oo-,Win,1
x-oxx-oo-,Win,1
-xoxx-oo-,Win,1
xxoxx-oo-,Win,1
--xxx-oo-,Win,1
o-xxx-oo-,Win,1
-oxxx-oo-,Win,1
xoxxx-oo-,Win,1
oxxxx-oo-,Win,1
xx-x-ooo-,Win,1
x-xx-ooo-,Win,1
-xxx-ooo-,Win,1
xxxx-ooo-,Lose,0
xx--xooo-,Win,1
x-x-xooo-,Win,1
-xx-xooo-,Win,1
xxx-xooo-,Lose,0
x--xxooo-,Win,1
-x-xxooo-,Tie,3
xx-xxooo-,Win,1
xxoxxooo-,Win,1
--xxxooo-,Tie,3
x-xxxooo-,Win,1
xoxxxooo-,Win,1
-xxxxooo-,Win,1
oxxxxooo-,Tie,1
x----xoo-,Win,3
-x---xoo-,Win,5
xx---xoo-,Win,1
xxo--xoo-,Lose,2
--x--xoo-,Win,1
x-x--xoo-,Win,1
xox--xoo-,Win,1
-xx--xoo-,Win,1
oxx--xoo-,Win,1
xx-o-xoo-,Win,1
x-xo-xoo-,Win,1
-xxo-xoo-,Win,1
xxxo-xoo-,Lose,0
---x-xoo-,Win,1
x--x-xoo-,Win,1
xo-x-xoo-,Win,1
-x-x-xoo-,Win,1
ox-x-xoo-,Win,1
x-ox-xoo-,Win,1
-xox-xoo-,Win,1
xxox-xoo-,Win,1
--xx-xoo-,Win,1
o-xx-xoo-,Win,1
-oxx-xoo-,Win,1
xoxx-xoo-,Win,1
oxxx-xoo-,Win,1
xx--oxoo-,Win,1
x-x-oxoo-,Win,1
-xx-oxoo-,Win,1
xxx-oxoo-,Lose,0
x--xoxoo-,Lose,2
-x-xoxoo-,Lose,2
xx-xoxoo-,Win,1
xxoxoxoo-,Lose,0
--xxoxoo-,Win,1
x-xxoxoo-,Win,1
xoxxoxoo-,Lose,0
-xxxoxoo-,Win,1
oxxxoxoo-,Win,1
----xxoo-,Win,1
x---xxoo-,Win,1
xo--xxoo-,Win,1
-x--xxoo-,Win,1
ox--xxoo-,Win,1
x-o-xxoo-,Win,1
-xo-xxoo-,Win,1
xxo-xxoo-,Win,1
--x-xxoo-,Win,1
o-x-xxoo-,Win,1
-ox-xxoo-,Win,1
xox-xxoo-,Win,1
oxx-xxoo-,Win,1
x--oxxoo-,Win,1
-x-oxxoo-,Lose,2
xx-oxxoo-,Win,1
xxooxxoo-,Win,1
--xoxxoo-,Win,1
x-xoxxoo-,Win,1
xoxoxxoo-,Win,1
-xxoxxoo-,Win,1
oxxoxxoo-,Lose,0
---xxxoo-,Lose,0
xo-xxxoo-,Lose,0
ox-xxxoo-,Lose,0
x-oxxxoo-,Lose,0
-xoxxxoo-,Lose,0
o-xxxxoo-,Lose,0
-oxxxxoo-,Lose,0
------xo-,Win,5
x-----xo-,Lose,4
xo----xo-,Win,1
-x----xo-,Tie,6
ox----xo-,Tie,5
x-o---xo-,Win,1
-xo---xo-,Tie,5
xxo---xo-,Tie,4
--x---xo-,Tie,6
o-x---xo-,Win,1
-ox---xo-,Win,1
xox---xo-,Win,1
oxx---xo-,Tie,4
x--o--xo-,Win,3
-x-o--xo-,Win,3
xx-o--xo-,Tie,4
xxoo--xo-,Tie,3
--xo--xo-,Win,1
x-xo--xo-,Lose,2
xoxo--xo-,Win,1
-xxo--xo-,Lose,2
oxxo--xo-,Win,1
---x--xo-,Lose,4
o--x--xo-,Win,3
-o-x--xo-,Win,1
xo-x--xo-,Lose,0
ox-x--xo-,Tie,4
--ox--xo-,Win,1
x-ox--xo-,Lose,0
-xox--xo-,Tie,4
oxox--xo-,Tie,3
o-xx--xo-,Win,3
-oxx--xo-,Win,1
ooxx--xo-,Win,1
x---o-xo-,Win,1
-x--o-xo-,Win,3
xx--o-xo-,Lose,2
xxo-o-xo-,Win,1
--x-o-xo-,Tie,5
x-x-o-xo-,Win,1
xox-o-xo-,Lose,0
-xx-o-xo-,Tie,4
oxx-o-xo-,Tie,3
xx-oo-xo-,Win,1
x-xoo-xo-,Win,1
-xxoo-xo-,Win,1
xxxoo-xo-,Lose,0
---xo-xo-,Win,1
x--xo-xo-,Lose,0
-x-xo-xo-,Tie,4
ox-xo-xo-,Tie,3
-xoxo-xo-,Win,1
xxoxo-xo-,Lose,0
--xxo-xo-,Win,1
o-xxo-xo-,Lose,2
-oxxo-xo-,Lose,0
oxxxo-xo-,Win,1
----x-xo-,Lose,4
o---x-xo-,Win,1
-o--x-xo-,Win,1
xo--x-xo-,Lose,2
ox--x-xo-,Tie,4
--o-x-xo-,Win,3
x-o-x-xo-,Lose,2
xoo-x-xo-,Win,1
-xo-x-xo-,Tie,4
oxo-x-xo-,Tie,3
o-x-x-xo-,Lose,0
-ox-x-xo-,Lose,0
---ox-xo-,Win,1
x--ox-xo-,Lose,2
xo-ox-xo-,Win,1
-x-ox-xo-,Tie,4
ox-ox-xo-,Win,1
x-oox-xo-,Win,1
-xoox-xo-,Tie,3
xxoox-xo-,Tie,2
--xox-xo-,Lose,0
xoxox-xo-,Lose,0
oxxox-xo-,Lose,0
o--xx-xo-,Lose,2
-o-xx-xo-,Lose,2
oo-xx-xo-,Win,1
--oxx-xo-,Lose,2
o-oxx-xo-,Win,1
-ooxx-xo-,Win,1
xooxx-xo-,Lose,0
oxoxx-xo-,Tie,2
ooxxx-xo-,Lose,0
x----oxo-,Win,1
-x---oxo-,Win,3
xx---oxo-,Lose,2
xxo--oxo-,Win,1
--x--oxo-,Win,1
x-x--oxo-,Lose,2
xox--oxo-,Win,1
-xx--oxo-,Lose,2
oxx--oxo-,Win,1
xx-o-oxo-,Win,1
x-xo-oxo-,Win,1
-xxo-oxo-,Win,1
xxxo-oxo-,Lose,0
---x-oxo-,Win,1
x--x-oxo-,Lose,0
-x-x-oxo-,Tie,4
ox-x-oxo-,Tie,3
-xox-oxo-,Win,1
xxox-oxo-,Lose,0
--xx-oxo-,Lose,2
o-xx-oxo-,Win,1
-oxx-oxo-,Win,1
xoxx-oxo-,Lose,0
oxxx-oxo-,Tie,2
xx--ooxo-,Win,1
x-x-ooxo-,Win,1
-xx-ooxo-,Win,1
xxx-ooxo-,Lose,0
-x-xooxo-,Win,1
xx-xooxo-,Lose,0
--xxooxo-,Win,1
x-xxooxo-,Lose,0
-xxxooxo-,Tie,2
oxxxooxo-,Tie,1
----xoxo-,Win,1
x---xoxo-,Lose,2
xo--xoxo-,Win,1
-x--xoxo-,Tie,4
ox--xoxo-,Win,1
x-o-xoxo-,Win,1
-xo-xoxo-,Tie,3
xxo-xoxo-,Win,1
--x-xoxo-,Lose,0
xox-xoxo-,Lose,0
oxx-xoxo-,Lose,0
x--oxoxo-,Win,1
-x-oxoxo-,Win,1
xx-oxoxo-,Lose,2
xxooxoxo-,Win,1
x-xoxoxo-,Lose,0
-xxoxoxo-,Lose,0
---xxoxo-,Lose,2
o--xxoxo-,Win,1
-o-xxoxo-,Win,1
xo-xxoxo-,Lose,0
ox-xxoxo-,Tie,2
--oxxoxo-,Win,1
x-oxxoxo-,Lose,0
-xoxxoxo-,Win,1
oxoxxoxo-,Tie,1
o-xxxoxo-,Lose,0
-oxxxoxo-,Lose,0
-----xxo-,Tie,6
o----xxo-,Win,3
-o---xxo-,Win,3
xo---xxo-,Win,1
ox---xxo-,Tie,4
--o--xxo-,Win,3
x-o--xxo-,Tie,4
xoo--xxo-,Win,1
-xo--xxo-,Tie,4
oxo--xxo-,Tie,3
o-x--xxo-,Lose,2
-ox--xxo-,Win,1
oox--xxo-,Win,1
---o-xxo-,Win,3
x--o-xxo-,Tie,4
xo-o-xxo-,Win,3
-x-o-xxo-,Tie,4
ox-o-xxo-,Win,3
x-oo-xxo-,Tie,3
-xoo-xxo-,Tie,3
xxoo-xxo-,Tie,2
--xo-xxo-,Lose,2
o-xo-xxo-,Win,1
-oxo-xxo-,Win,1
xoxo-xxo-,Win,1
oxxo-xxo-,Lose,2
o--x-xxo-,Win,3
-o-x-xxo-,Win,1
oo-x-xxo-,Win,1
--ox-xxo-,Lose,2
o-ox-xxo-,Win,1
-oox-xxo-,Win,1
xoox-xxo-,Lose,0
oxox-xxo-,Tie,2
ooxx-xxo-,Win,1
----oxxo-,Tie,5
x---oxxo-,Win,1
xo--oxxo-,Lose,0
-x--oxxo-,Tie,4
ox--oxxo-,Tie,3
x-o-oxxo-,Win,1
-xo-oxxo-,Tie,3
xxo-oxxo-,Tie,2
--x-oxxo-,Win,1
o-x-oxxo-,Win,1
-ox-oxxo-,Lose,0
oxx-oxxo-,Win,1
x--ooxxo-,Tie,3
-x-ooxxo-,Win,3
xx-ooxxo-,Tie,2
xxoooxxo-,Tie,1
--xooxxo-,Win,1
x-xooxxo-,Win,1
xoxooxxo-,Lose,0
-xxooxxo-,Lose,2
oxxooxxo-,Win,1
---xoxxo-,Win,1
o--xoxxo-,Lose,2
-o-xoxxo-,Lose,0
ox-xoxxo-,Win,1
--oxoxxo-,Win,1
x-oxoxxo-,Lose,0
-xoxoxxo-,Tie,2
oxoxoxxo-,Tie,1
o-xxoxxo-,Win,1
ooxxoxxo-,Lose,0
o---xxxo-,Lose,2
-o--xxxo-,Lose,2
oo--xxxo-,Win,1
--o-xxxo-,Tie,4
o-o-xxxo-,Win,1
-oo-xxxo-,Win,1
xoo-xxxo-,Lose,2
oxo-xxxo-,Tie,2
oox-xxxo-,Lose,0
---oxxxo-,Tie,4
o--oxxxo-,Win,1
-o-oxxxo-,Win,1
xo-oxxxo-,Lose,2
ox-oxxxo-,Tie,2
--ooxxxo-,Tie,3
x-ooxxxo-,Tie,2
xoooxxxo-,Win,1
-xooxxxo-,Tie,2
oxooxxxo-,Tie,1
o-xoxxxo-,Lose,0
-oxoxxxo-,Lose,0
oo-xxxxo-,Lose,0
o-oxxxxo-,Lose,0
-ooxxxxo-,Lose,0
-------x-,Tie,8
o------x-,Win,5
-o-----x-,Tie,7
xo-----x-,Tie,6
ox-----x-,Win,5
--o----x-,Win,5
x-o----x-,Tie,6
xoo----x-,Win,3
-xo----x-,Win,5
oxo----x-,Win,1
o-x----x-,Tie,6
-ox----x-,Tie,6
oox----x-,Win,3
---o---x-,Win,5
x--o---x-,Tie,6
xo-o---x-,Win,3
-x-o---x-,Win,5
ox-o---x-,Win,1
x-oo---x-,Win,3
-xoo---x-,Win,1
xxoo---x-,Win,3
--xo---x-,Tie,6
o-xo---x-,Win,3
-oxo---x-,Win,3
xoxo---x-,Tie,4
oxxo---x-,Win,1
o--x---x-,Win,5
-o-x---x-,Tie,6
oo-x---x-,Win,5
--ox---x-,Win,5
o-ox---x-,Lose,4
-oox---x-,Win,5
xoox---x-,Lose,4
oxox---x-,Win,3
ooxx---x-,Lose,4
----o--x-,Tie,7
x---o--x-,Tie,6
xo--o--x-,Win,3
-x--o--x-,Win,5
ox--o--x-,Lose,4
x-o-o--x-,Win,3
-xo-o--x-,Lose,4
xxo-o--x-,Win,1
--x-o--x-,Tie,6
o-x-o--x-,Win,3
-ox-o--x-,Win,3
xox-o--x-,Tie,4
oxx-o--x-,Win,1
x--oo--x-,Tie,5
-x-oo--x-,Lose,4
xx-oo--x-,Win,1
xxooo--x-,Lose,2
--xoo--x-,Tie,5
x-xoo--x-,Win,1
xoxoo--x-,Tie,3
-xxoo--x-,Win,1
oxxoo--x-,Lose,2
---xo--x-,Tie,6
o--xo--x-,Tie,5
-o-xo--x-,Win,3
xo-xo--x-,Tie,4
ox-xo--x-,Win,1
--oxo--x-,Win,3
x-oxo--x-,Win,1
xooxo--x-,Win,1
-xoxo--x-,Win,1
oxoxo--x-,Lose,2
o-xxo--x-,Win,1
-oxxo--x-,Tie,4
ooxxo--x-,Win,3
o---x--x-,Tie,6
-o--x--x-,Tie,6
oo--x--x-,Tie,5
--o-x--x-,Tie,6
o-o-x--x-,Win,1
-oo-x--x-,Tie,5
xoo-x--x-,Tie,4
oxo-x--x-,Lose,0
oox-x--x-,Tie,4
---ox--x-,Lose,4
o--ox--x-,Win,1
-o-ox--x-,Win,3
xo-ox--x-,Tie,4
ox-ox--x-,Lose,0
--oox--x-,Win,1
x-oox--x-,Lose,2
xooox--x-,Win,1
-xoox--x-,Lose,0
o-xox--x-,Win,1
-oxox--x-,Tie,4
ooxox--x-,Win,1
oo-xx--x-,Win,1
o-oxx--x-,Win,1
-ooxx--x-,Win,1
oooxx--x-,Lose,0
-----o-x-,Win,5
x----o-x-,Tie,6
xo---o-x-,Win,3
-x---o-x-,Win,5
ox---o-x-,Win,1
x-o--o-x-,Win,3
-xo--o-x-,Win,1
xxo--o-x-,Win,1
--x--o-x-,Tie,6
o-x--o-x-,Win,3
-ox--o-x-,Win,3
xox--o-x-,Tie,4
oxx--o-x-,Win,3
x--o-o-x-,Win,3
-x-o-o-x-,Win,1
xx-o-o-x-,Win,1
xxoo-o-x-,Win,1
--xo-o-x-,Win,3
x-xo-o-x-,Win,1
xoxo-o-x-,Win,3
-xxo-o-x-,Win,1
oxxo-o-x-,Win,1
---x-o-x-,Tie,6
o--x-o-x-,Tie,5
-o-x-o-x-,Win,3
xo-x-o-x-,Tie,4
ox-x-o-x-,Tie,4
--ox-o-x-,Win,5
x-ox-o-x-,Win,1
xoox-o-x-,Win,1
-xox-o-x-,Win,1
oxox-o-x-,Win,1
o-xx-o-x-,Tie,4
-oxx-o-x-,Tie,4
ooxx-o-x-,Win,3
x---oo-x-,Tie,5
-x--oo-x-,Lose,4
xx--oo-x-,Win,1
xxo-oo-x-,Lose,2
--x-oo-x-,Tie,5
x-x-oo-x-,Win,1
xox-oo-x-,Tie,3
-xx-oo-x-,Win,1
oxx-oo-x-,Lose,2
xx-ooo-x-,Lose,0
x-xooo-x-,Lose,0
-xxooo-x-,Lose,0
---xoo-x-,Win,3
x--xoo-x-,Tie,4
xo-xoo-x-,Win,1
-x-xoo-x-,Win,3
ox-xoo-x-,Tie,3
x-oxoo-x-,Win,1
-xoxoo-x-,Lose,2
xxoxoo-x-,Win,1
--xxoo-x-,Tie,4
o-xxoo-x-,Tie,3
-oxxoo-x-,Win,3
xoxxoo-x-,Tie,2
oxxxoo-x-,Win,1
----xo-x-,Lose,4
o---xo-x-,Win,1
-o--xo-x-,Win,3
xo--xo-x-,Tie,4
ox--xo-x-,Lose,0
--o-xo-x-,Win,1
x-o-xo-x-,Win,1
xoo-xo-x-,Win,1
-xo-xo-x-,Lose,0
o-x-xo-x-,Lose,2
-ox-xo-x-,Tie,4
oox-xo-x-,Win,1
---oxo-x-,Win,1
x--oxo-x-,Lose,2
xo-oxo-x-,Win,1
-x-oxo-x-,Lose,0
x-ooxo-x-,Win,1
xxooxo-x-,Lose,0
--xoxo-x-,Lose,2
o-xoxo-x-,Win,1
-oxoxo-x-,Win,1
xoxoxo-x-,Lose,2
oxxoxo-x-,Lose,0
o--xxo-x-,Tie,4
-o-xxo-x-,Win,3
oo-xxo-x-,Tie,3
--oxxo-x-,Win,1
o-oxxo-x-,Win,1
-ooxxo-x-,Lose,2
xooxxo-x-,Win,1
oxoxxo-x-,Lose,0
ooxxxo-x-,Tie,2
o----x-x-,Win,5
-o---x-x-,Tie,6
oo---x-x-,Win,5
--o--x-x-,Win,5
o-o--x-x-,Lose,4
-oo--x-x-,Win,5
xoo--x-x-,Lose,4
oxo--x-x-,Win,3
oox--x-x-,Lose,4
---o-x-x-,Tie,6
o--o-x-x-,Win,5
-o-o-x-x-,Win,3
xo-o-x-x-,Tie,4
ox-o-x-x-,Win,1
--oo-x-x-,Tie,5
x-oo-x-x-,Tie,4
xooo-x-x-,Win,3
-xoo-x-x-,Tie,4
oxoo-x-x-,Win,1
o-xo-x-x-,Win,1
-oxo-x-x-,Tie,4
ooxo-x-x-,Win,1
oo-x-x-x-,Win,1
o-ox-x-x-,Win,1
-oox-x-x-,Win,1
ooox-x-x-,Lose,0
----ox-x-,Tie,6
o---ox-x-,Win,3
-o--ox-x-,Win,3
xo--ox-x-,Tie,4
ox--ox-x-,Win,1
--o-ox-x-,Tie,5
x-o-ox-x-,Win,1
xoo-ox-x-,Win,3
-xo-ox-x-,Win,1
oxo-ox-x-,Lose,2
o-x-ox-x-,Win,1
-ox-ox-x-,Tie,4
oox-ox-x-,Win,1
---oox-x-,Win,3
x--oox-x-,Tie,4
xo-oox-x-,Win,3
-x-oox-x-,Win,3
ox-oox-x-,Lose,2
x-ooox-x-,Tie,3
-xooox-x-,Tie,3
xxooox-x-,Win,1
--xoox-x-,Tie,4
o-xoox-x-,Win,1
-oxoox-x-,Win,1
xoxoox-x-,Tie,2
oxxoox-x-,Win,1
o--xox-x-,Win,1
-o-xox-x-,Win,3
oo-xox-x-,Lose,2
--oxox-x-,Win,1
o-oxox-x-,Lose,2
-ooxox-x-,Lose,2
xooxox-x-,Win,1
oxoxox-x-,Win,1
ooxxox-x-,Win,1
oo--xx-x-,Win,1
o-o-xx-x-,Win,1
-oo-xx-x-,Win,1
ooo-xx-x-,Lose,0
o--oxx-x-,Win,1
-o-oxx-x-,Win,3
oo-oxx-x-,Lose,2
--ooxx-x-,Tie,4
o-ooxx-x-,Win,1
-oooxx-x-,Tie,3
xoooxx-x-,Tie,2
oxooxx-x-,Lose,0
ooxoxx-x-,Win,1
------ox-,Tie,7
x-----ox-,Tie,6
xo----ox-,Tie,5
-x----ox-,Win,5
ox----ox-,Win,1
x-o---ox-,Win,3
-xo---ox-,Win,1
xxo---ox-,Win,1
--x---ox-,Tie,6
o-x---ox-,Tie,5
-ox---ox-,Tie,5
xox---ox-,Tie,4
oxx---ox-,Win,1
x--o--ox-,Win,3
-x-o--ox-,Win,1
xx-o--ox-,Lose,2
xxoo--ox-,Win,1
--xo--ox-,Win,5
x-xo--ox-,Lose,4
xoxo--ox-,Win,3
-xxo--ox-,Win,1
oxxo--ox-,Lose,0
---x--ox-,Tie,6
o--x--ox-,Win,3
-o-x--ox-,Tie,5
xo-x--ox-,Tie,4
ox-x--ox-,Win,3
--ox--ox-,Win,3
x-ox--ox-,Win,1
xoox--ox-,Win,3
-xox--ox-,Win,1
oxox--ox-,Win,1
o-xx--ox-,Tie,4
-oxx--ox-,Tie,4
ooxx--ox-,Win,3
x---o-ox-,Tie,5
-x--o-ox-,Lose,4
xx--o-ox-,Win,1
xxo-o-ox-,Lose,0
--x-o-ox-,Tie,5
x-x-o-ox-,Tie,4
xox-o-ox-,Tie,3
-xx-o-ox-,Win,3
oxx-o-ox-,Lose,2
xx-oo-ox-,Win,1
x-xoo-ox-,Win,1
-xxoo-ox-,Win,1
xxxoo-ox-,Lose,0
---xo-ox-,Tie,5
x--xo-ox-,Win,1
xo-xo-ox-,Tie,3
-x-xo-ox-,Win,1
ox-xo-ox-,Lose,2
x-oxo-ox-,Lose,0
-xoxo-ox-,Lose,0
--xxo-ox-,Tie,4
o-xxo-ox-,Tie,3
-oxxo-ox-,Tie,3
xoxxo-ox-,Tie,2
oxxxo-ox-,Win,1
----x-ox-,Tie,6
o---x-ox-,Win,1
-o--x-ox-,Tie,5
xo--x-ox-,Tie,4
ox--x-ox-,Lose,0
--o-x-ox-,Win,1
x-o-x-ox-,Lose,2
xoo-x-ox-,Win,1
-xo-x-ox-,Lose,0
o-x-x-ox-,Win,1
-ox-x-ox-,Tie,4
oox-x-ox-,Tie,3
---ox-ox-,Win,1
x--ox-ox-,Lose,2
xo-ox-ox-,Win,1
-x-ox-ox-,Lose,0
x-oox-ox-,Win,1
xxoox-ox-,Lose,0
--xox-ox-,Win,1
o-xox-ox-,Lose,0
-oxox-ox-,Tie,3
xoxox-ox-,Tie,2
o--xx-ox-,Lose,2
-o-xx-ox-,Tie,4
oo-xx-ox-,Win,1
--oxx-ox-,Lose,2
o-oxx-ox-,Win,1
-ooxx-ox-,Win,1
xooxx-ox-,Lose,2
oxoxx-ox-,Lose,0
ooxxx-ox-,Tie,2
x----oox-,Win,3
-x---oox-,Win,1
xx---oox-,Lose,2
xxo--oox-,Win,1
--x--oox-,Win,3
x-x--oox-,Tie,4
xox--oox-,Tie,3
-xx--oox-,Lose,2
oxx--oox-,Win,1
xx-o-oox-,Win,1
x-xo-oox-,Win,1
-xxo-oox-,Win,1
xxxo-oox-,Lose,0
---x-oox-,Tie,5
x--x-oox-,Win,3
xo-x-oox-,Tie,3
-x-x-oox-,Tie,4
ox-x-oox-,Win,1
x-ox-oox-,Lose,2
-xox-oox-,Win,1
xxox-oox-,Win,1
--xx-oox-,Tie,4
o-xx-oox-,Tie,3
-oxx-oox-,Tie,3
xoxx-oox-,Tie,2
oxxx-oox-,Tie,2
xx--ooox-,Win,1
x-x-ooox-,Win,1
-xx-ooox-,Win,1
xxx-ooox-,Lose,0
x--xooox-,Tie,3
-x-xooox-,Tie,3
xx-xooox-,Win,1
xxoxooox-,Lose,0
--xxooox-,Tie,3
x-xxooox-,Tie,2
xoxxooox-,Tie,1
-xxxooox-,Tie,2
oxxxooox-,Tie,1
----xoox-,Win,1
x---xoox-,Lose,2
xo--xoox-,Win,1
-x--xoox-,Lose,0
x-o-xoox-,Win,1
xxo-xoox-,Lose,0
--x-xoox-,Tie,4
o-x-xoox-,Win,1
-ox-xoox-,Tie,3
xox-xoox-,Tie,2
oxx-xoox-,Lose,0
x--oxoox-,Win,1
xx-oxoox-,Lose,0
--xoxoox-,Win,1
x-xoxoox-,Lose,2
xoxoxoox-,Win,1
-xxoxoox-,Lose,0
---xxoox-,Tie,4
o--xxoox-,Win,1
-o-xxoox-,Tie,3
xo-xxoox-,Tie,2
ox-xxoox-,Lose,0
--oxxoox-,Win,1
x-oxxoox-,Win,1
xooxxoox-,Win,1
-xoxxoox-,Lose,0
o-xxxoox-,Tie,2
-oxxxoox-,Tie,2
ooxxxoox-,Tie,1
-----xox-,Win,5
o----xox-,Lose,4
-o---xox-,Tie,5
xo---xox-,Tie,4
ox---xox-,Win,1
--o--xox-,Win,3
x-o--xox-,Win,1
xoo--xox-,Win,3
-xo--xox-,Win,1
oxo--xox-,Win,1
o-x--xox-,Win,1
-ox--xox-,Tie,4
oox--xox-,Win,1
---o-xox-,Win,5
x--o-xox-,Lose,4
xo-o-xox-,Win,3
-x-o-xox-,Win,1
ox-o-xox-,Lose,0
x-oo-xox-,Win,3
-xoo-xox-,Win,1
xxoo-xox-,Win,1
--xo-xox-,Win,1
o-xo-xox-,Lose,0
-oxo-xox-,Win,1
xoxo-xox-,Tie,2
o--x-xox-,Win,3
-o-x-xox-,Tie,4
oo-x-xox-,Win,1
--ox-xox-,Win,1
o-ox-xox-,Win,1
-oox-xox-,Win,1
xoox-xox-,Win,1
oxox-xox-,Win,1
ooxx-xox-,Lose,2
----oxox-,Tie,5
x---oxox-,Win,1
xo--oxox-,Tie,3
-x--oxox-,Win,1
ox--oxox-,Lose,2
x-o-oxox-,Lose,0
-xo-oxox-,Lose,0
--x-oxox-,Tie,4
o-x-oxox-,Win,1
-ox-oxox-,Win,1
xox-oxox-,Tie,2
oxx-oxox-,Win,1
x--ooxox-,Win,3
-x-ooxox-,Lose,2
xx-ooxox-,Win,1
xxoooxox-,Lose,0
--xooxox-,Win,1
x-xooxox-,Lose,2
xoxooxox-,Win,1
-xxooxox-,Win,1
oxxooxox-,Lose,0
---xoxox-,Win,1
o--xoxox-,Lose,2
-o-xoxox-,Tie,3
xo-xoxox-,Win,1
ox-xoxox-,Win,1
--oxoxox-,Lose,0
xooxoxox-,Lose,0
oxoxoxox-,Lose,0
o-xxoxox-,Win,1
-oxxoxox-,Tie,2
ooxxoxox-,Win,1
o---xxox-,Win,1
-o--xxox-,Tie,4
oo--xxox-,Win,1
--o-xxox-,Lose,2
o-o-xxox-,Win,1
-oo-xxox-,Win,1
xoo-xxox-,Lose,2
oxo-xxox-,Lose,0
oox-xxox-,Win,1
---oxxox-,Win,1
o--oxxox-,Lose,0
-o-oxxox-,Tie,3
xo-oxxox-,Tie,2
--ooxxox-,Win,1
x-ooxxox-,Lose,2
xoooxxox-,Win,1
-xooxxox-,Lose,0
-oxoxxox-,Win,1
ooxoxxox-,Lose,0
oo-xxxox-,Lose,0
o-oxxxox-,Lose,0
-ooxxxox-,Lose,0
o-----xx-,Lose,4
-o----xx-,Tie,6
oo----xx-,Win,1
--o---xx-,Win,5
o-o---xx-,Win,1
-oo---xx-,Win,1
xoo---xx-,Lose,2
oxo---xx-,Lose,2
oox---xx-,Lose,2
---o--xx-,Lose,4
o--o--xx-,Win,1
-o-o--xx-,Win,1
xo-o--xx-,Tie,4
ox-o--xx-,Lose,2
